Shape;True Tucker Rank;Calculated Rank;Time
(64, 64, 64, 64, 64);(59, 52, 23, 15);(59, 52, 23, 15);0.040266273498535156
(64, 64, 64, 64, 64);(59, 52, 23, 15);(59, 52, 23, 15);0.04015958404541015
(64, 64, 64, 64, 128);(54, 52, 13, 58);(54, 52, 13, 58);0.04020444869995117
(64, 64, 64, 64, 128);(54, 52, 13, 58);(54, 52, 13, 58);0.039761280059814455
(64, 64, 64, 64, 128);(54, 52, 13, 58);(54, 52, 13, 58);0.04026118469238281
(64, 64, 64, 64, 128);(54, 52, 13, 58);(54, 52, 13, 58);0.039597793579101564
(64, 64, 64, 64, 128);(54, 52, 13, 58);(54, 52, 13, 58);0.040145408630371096
(64, 64, 64, 64, 128);(54, 52, 13, 58);(54, 52, 13, 58);0.04180223846435547
(64, 64, 64, 64, 128);(54, 52, 13, 58);(54, 52, 13, 58);0.04113094329833984
(64, 64, 64, 64, 128);(54, 52, 13, 58);(54, 52, 13, 58);0.04106732940673828
(64, 64, 64, 64, 128);(54, 52, 13, 58);(54, 52, 13, 58);0.03951833724975586
(64, 64, 64, 64, 128);(54, 52, 13, 58);(54, 52, 13, 58);0.040251201629638675
(64, 64, 64, 64, 128);(54, 52, 13, 58);(54, 52, 13, 58);0.04055836868286133
(64, 64, 64, 64, 128);(54, 52, 13, 58);(54, 52, 13, 58);0.03958844757080078
(64, 64, 64, 64, 128);(54, 52, 13, 58);(54, 52, 13, 58);0.040842464447021484
(64, 64, 64, 64, 128);(54, 52, 13, 58);(54, 52, 13, 58);0.03940217590332031
(64, 64, 64, 64, 128);(54, 52, 13, 58);(54, 52, 13, 58);0.041386974334716796
(64, 64, 64, 64, 128);(54, 52, 13, 58);(54, 52, 13, 58);0.03998239898681641
(64, 64, 64, 64, 128);(54, 52, 13, 58);(54, 52, 13, 58);0.0393034896850586
(64, 64, 64, 64, 128);(54, 52, 13, 58);(54, 52, 13, 58);0.040935550689697266
