matrix_shape,method,rank_strategy,error_mean,error_std,time_mean,time_std,rank_mean,rank_std,matrix_type
32x32,ortho,fixed_rank,0.0001551412817207165,1.9614684015773868e-05,0.0028878099999928965,0.0003107660980347747,32.0,0.0,square
64x64,ortho,fixed_rank,0.0019208122976124287,0.0003993849108808138,0.009035415850303253,0.0004935127588088797,64.0,0.0,square
128x128,ortho,fixed_rank,0.004225071799010038,0.0005618478559540812,0.017151453000587936,0.0006121781477998224,128.0,0.0,square
256x256,ortho,fixed_rank,0.008560773218050599,0.0009335853545272654,0.04106200845035346,0.0013613296418392927,256.0,0.0,square
512x512,ortho,fixed_rank,0.024783153738826513,0.021906378319480873,0.12419565854961548,0.004708524248521915,512.0,0.0,square
1024x1024,ortho,fixed_rank,0.036984067782759665,0.003960282342882533,0.3983560326498264,0.014098725377383426,1024.0,0.0,square
16x16,iid_entries,full_rank,4.811597900697961e-05,1.040637702135001e-05,0.0021724493999499828,0.0004917518806449294,16.0,0.0,square
32x32,iid_entries,full_rank,0.00016394773301726674,2.4320618691303055e-05,0.0025124201498329056,0.0004707966407128012,32.0,0.0,square
64x64,iid_entries,full_rank,0.0005506892775883898,4.873192703406575e-05,0.0066649696507738556,0.0005377988047464655,64.0,0.0,square
128x128,iid_entries,full_rank,0.0031783199170604347,0.00014760704339261108,0.01347230129995296,0.0006884160499300011,128.0,0.0,square
256x256,iid_entries,full_rank,0.015517063904553652,0.0004456876673611006,0.029164431150638846,0.0004960930490741828,256.0,0.0,square
512x512,iid_entries,full_rank,0.0818437721580267,0.0013019148703050207,0.07400656005011115,0.0013190221912398909,512.0,0.0,square
1024x1024,iid_entries,full_rank,0.325216569006443,0.0059977297448086725,0.2123561496995535,0.00537388832570763,1024.0,0.0,square
16x16,iid_entries,half_rank,8.983670177258319e-05,2.248912785542449e-05,0.0021267451493258704,0.0003682837796793913,16.0,0.0,square
32x32,iid_entries,half_rank,0.0003957470573368482,6.70370424984727e-05,0.0025132311004199435,0.00042378976785847607,32.0,0.0,square
64x64,iid_entries,half_rank,0.0018969923141412437,0.00026727821101418055,0.0082201391003764,0.0006487271392697915,64.0,0.0,square
128x128,iid_entries,half_rank,0.010079926624894143,0.000991226032951068,0.017247358299937333,0.0010770708617903603,128.0,0.0,square
256x256,iid_entries,half_rank,0.06904581896960735,0.004738966724349557,0.04906710089999251,0.004982037714270347,256.0,0.0,square
512x512,iid_entries,half_rank,0.42261651903390884,0.04008909479340232,0.15813880510013406,0.006051703151242469,512.0,0.0,square
1024x1024,iid_entries,half_rank,3.053398001194,0.21933235172053137,0.5026026148494566,0.033775658359153055,1024.0,0.0,square
16x16,iid_entries,fixed_rank,4.480809693632182e-05,1.0366925893574839e-05,0.0019844413496684864,0.0003030604606113646,16.0,0.0,square
32x32,iid_entries,fixed_rank,0.00015274972138286104,1.7051430329821324e-05,0.0025579300005119875,0.0004684455598705796,32.0,0.0,square
64x64,iid_entries,fixed_rank,0.0020043647265993057,0.00027559750983514604,0.00809022779994848,0.0005813379906869642,64.0,0.0,square
128x128,iid_entries,fixed_rank,0.0042442062869668005,0.0006031998214725316,0.015642973549984163,0.0004300126119246196,128.0,0.0,square
256x256,iid_entries,fixed_rank,0.008928517927415669,0.0013774260818491036,0.038900926950555005,0.0011406521448151944,256.0,0.0,square
512x512,iid_entries,fixed_rank,0.017471492756158113,0.0026170289747094737,0.1203782124501231,0.005396794643261833,512.0,0.0,square
1024x1024,iid_entries,fixed_rank,0.053602834790945054,0.0619416407480075,0.33735606964946785,0.009640404250212035,1024.0,0.0,square
16x16,identity_copies,full_rank,4.4080202223995e-05,1.2471188952214989e-05,0.0020464615503442475,0.0004572914113206786,16.0,0.0,square
32x32,identity_copies,full_rank,0.00015213036676868795,1.814810517377193e-05,0.002295178950589616,0.00041088095372497657,32.0,0.0,square
64x64,identity_copies,full_rank,0.0005770702875452117,3.377639823646781e-05,0.007699381399834238,0.002100844443351716,64.0,0.0,square
128x128,identity_copies,full_rank,0.0032043832936324177,0.00015893929962248354,0.015369338949676603,0.0020686851491384566,128.0,0.0,square
256x256,identity_copies,full_rank,0.015723342960700392,0.00036911195254426,0.02824365564974869,0.0006731813800279201,256.0,0.0,square
512x512,identity_copies,full_rank,0.0823376540094614,0.0016002585234417626,0.07287317410009564,0.0007976801353788832,512.0,0.0,square
1024x1024,identity_copies,full_rank,0.32517366111278534,0.006070831119562547,0.20146856534975086,0.0028075290020880463,1024.0,0.0,square
16x16,identity_copies,half_rank,9.346823462692555e-05,2.704931914829988e-05,0.002005443300367915,0.000380048670558577,16.0,0.0,square
32x32,identity_copies,half_rank,0.0003993882521172054,0.00012919198487592928,0.0023246936500072478,0.0003183077085907774,32.0,0.0,square
64x64,identity_copies,half_rank,0.0020424728223588317,0.00035658905554100304,0.00863829089958017,0.0004512539563820386,64.0,0.0,square
128x128,identity_copies,half_rank,0.010118356440216303,0.0009426586400901225,0.018894988000101875,0.0012109209471355207,128.0,0.0,square
256x256,identity_copies,half_rank,0.07152971439063549,0.006624531050106874,0.04883897555046133,0.004761406084961751,256.0,0.0,square
512x512,identity_copies,half_rank,0.439544315636158,0.0330924178595348,0.16205185874987366,0.011195757536935113,512.0,0.0,square
1024x1024,identity_copies,half_rank,3.0118255376815797,0.16145621560493628,0.47394240869962234,0.02541987630834417,1024.0,0.0,square
16x16,identity_copies,fixed_rank,4.810627706319792e-05,1.2914434884715777e-05,0.001935735999541066,0.0003334679706821677,16.0,0.0,square
