Shape;Tucker Rank;Calculated Rank;Time
(64, 64, 64, 16);(62, 27, 9);(62, 27, 9);0.014294976234436036
(64, 64, 64, 16);(62, 27, 9);(62, 27, 9);0.01024988842010498
(64, 64, 64, 16);(62, 27, 9);(62, 27, 9);0.019033920288085936
(64, 64, 64, 16);(62, 27, 9);(62, 27, 9);0.013161664009094238
(64, 64, 64, 16);(62, 27, 9);(62, 27, 9);0.023250400543212892
(64, 64, 64, 16);(62, 27, 9);(62, 27, 9);0.013080512046813965
(64, 64, 64, 16);(62, 27, 9);(62, 27, 9);0.03884207916259766
(64, 64, 64, 16);(62, 27, 9);(62, 27, 9);0.014482399940490723
(64, 64, 64, 16);(62, 27, 9);(62, 27, 9);0.01729916763305664
(64, 64, 64, 32);(53, 35, 59);(53, 35, 59);0.010293472290039062
(64, 64, 64, 32);(53, 35, 59);(53, 35, 59);0.005351935863494873
(64, 64, 64, 32);(53, 35, 59);(53, 35, 59);0.005667263984680176
