Shape;True Tucker Rank;Calculated Rank;Time
(2, 2, 2);(2, 1, 1);(1, 1, 1);0.0003303360044956207
(2, 2, 2);(2, 1, 1);(1, 1, 1);0.00032451200485229494
(2, 2, 2);(2, 1, 1);(1, 1, 1);0.0003282879889011383
(2, 2, 2);(2, 1, 1);(1, 1, 1);0.0006188160181045532
(2, 2, 2);(2, 1, 1);(1, 1, 1);0.000690783977508545
(2, 2, 2);(2, 1, 1);(1, 1, 1);0.00031775999069213865
(2, 2, 2);(2, 1, 1);(1, 1, 1);0.00033299198746681213
(2, 2, 2);(2, 1, 1);(1, 1, 1);0.00031548801064491274
(2, 2, 2);(2, 1, 1);(1, 1, 1);0.00031091201305389406
(2, 2, 2);(2, 1, 1);(1, 1, 1);0.00032659199833869935
(2, 2, 2);(2, 1, 1);(1, 1, 1);0.000323199987411499
(2, 2, 2);(2, 1, 1);(1, 1, 1);0.00030953601002693177
(2, 2, 2);(2, 1, 1);(1, 1, 1);0.0003160319924354553
(2, 2, 2);(2, 1, 1);(1, 1, 1);0.00032476800680160525
(2, 2, 2);(2, 1, 1);(1, 1, 1);0.00034118399024009706
(2, 2, 2);(2, 1, 1);(1, 1, 1);0.0003322240114212036
(2, 2, 2);(2, 1, 1);(1, 1, 1);0.00031622400879859926
(2, 2, 2);(2, 1, 1);(1, 1, 1);0.00030553600192070006
(2, 2, 2);(2, 1, 1);(1, 1, 1);0.00033167999982833865
(2, 2, 2);(2, 1, 1);(1, 1, 1);0.0003091840147972107
(4, 4, 4);(1, 3, 2);(1, 2, 2);0.00042175999283790587
(4, 4, 4);(1, 3, 2);(1, 2, 2);0.0003830719888210297
(4, 4, 4);(1, 3, 2);(1, 2, 2);0.0003698880076408386
(4, 4, 4);(1, 3, 2);(1, 2, 2);0.0003715519905090332
(4, 4, 4);(1, 3, 2);(1, 2, 2);0.0003629440069198608
(4, 4, 4);(1, 3, 2);(1, 2, 2);0.00042662400007247925
(4, 4, 4);(1, 3, 2);(1, 2, 2);0.00036771199107170106
(4, 4, 4);(1, 3, 2);(1, 2, 2);0.0003641600012779236
(4, 4, 4);(1, 3, 2);(1, 2, 2);0.0003721599876880646
(4, 4, 4);(1, 3, 2);(1, 2, 2);0.00036998400092124936
(4, 4, 4);(1, 3, 2);(1, 2, 2);0.00036515200138092043
(4, 4, 4);(1, 3, 2);(1, 2, 2);0.00037139201164245605
(4, 4, 4);(1, 3, 2);(1, 2, 2);0.00038435199856758117
(4, 4, 4);(1, 3, 2);(1, 2, 2);0.0003957439959049225
(4, 4, 4);(1, 3, 2);(1, 2, 2);0.0006624320149421692
(4, 4, 4);(1, 3, 2);(1, 2, 2);0.0003652800023555756
(4, 4, 4);(1, 3, 2);(1, 2, 2);0.0003715200126171112
(4, 4, 4);(1, 3, 2);(1, 2, 2);0.0003638400137424469
(4, 4, 4);(1, 3, 2);(1, 2, 2);0.0003666239976882935
(4, 4, 4);(1, 3, 2);(1, 2, 2);0.0003654400110244751
(4, 4, 4);(1, 3, 2);(1, 2, 2);0.0003664959967136383
(4, 4, 4);(1, 3, 2);(1, 2, 2);0.0003659519851207733
(4, 4, 4);(1, 3, 2);(1, 2, 2);0.0006223040223121643
(4, 4, 4);(1, 3, 2);(1, 2, 2);0.0005207359790802002
(4, 4, 4);(1, 3, 2);(1, 2, 2);0.0003775039911270142
(4, 4, 4);(1, 3, 2);(1, 2, 2);0.00036326399445533753
(4, 4, 4);(1, 3, 2);(1, 2, 2);0.00035897600650787356
(4, 4, 4);(1, 3, 2);(1, 2, 2);0.00036166399717330933
(4, 4, 4);(1, 3, 2);(1, 2, 2);0.00036585599184036255
(4, 4, 4);(1, 3, 2);(1, 2, 2);0.00036451199650764467
(8, 8, 8);(6, 8, 6);(6, 8, 6);0.0012793920040130614
(8, 8, 8);(6, 8, 6);(6, 8, 6);0.0012444479465484619
(8, 8, 8);(6, 8, 6);(6, 8, 6);0.0012246719598770141
(8, 8, 8);(6, 8, 6);(6, 8, 6);0.0013177599906921387
(8, 8, 8);(6, 8, 6);(6, 8, 6);0.0015474560260772706
(8, 8, 8);(6, 8, 6);(6, 8, 6);0.0012203199863433838
(8, 8, 8);(6, 8, 6);(6, 8, 6);0.0012157440185546875
(8, 8, 8);(6, 8, 6);(6, 8, 6);0.0012770880460739136
(8, 8, 8);(6, 8, 6);(6, 8, 6);0.0012316160202026367
(8, 8, 8);(6, 8, 6);(6, 8, 6);0.0017073279619216918
(8, 8, 8);(6, 8, 6);(6, 8, 6);0.0012166719436645507
(8, 8, 8);(6, 8, 6);(6, 8, 6);0.0012204159498214722
(8, 8, 8);(6, 8, 6);(6, 8, 6);0.00124563205242157
(8, 8, 8);(6, 8, 6);(6, 8, 6);0.0012462400197982787
(8, 8, 8);(6, 8, 6);(6, 8, 6);0.0015360000133514404
(8, 8, 8);(6, 8, 6);(6, 8, 6);0.0013278080224990844
(8, 8, 8);(6, 8, 6);(6, 8, 6);0.0012158399820327759
(8, 8, 8);(6, 8, 6);(6, 8, 6);0.0013570239543914794
(8, 8, 8);(6, 8, 6);(6, 8, 6);0.0012820160388946533
(8, 8, 8);(6, 8, 6);(6, 8, 6);0.001218783974647522
(8, 8, 8);(6, 8, 6);(6, 8, 6);0.0012060480117797852
(8, 8, 8);(6, 8, 6);(6, 8, 6);0.0015756160020828248
(8, 8, 8);(6, 8, 6);(6, 8, 6);0.0012776000499725342
(8, 8, 8);(6, 8, 6);(6, 8, 6);0.0015823999643325805
(8, 8, 8);(6, 8, 6);(6, 8, 6);0.0012306560277938843
(8, 8, 8);(6, 8, 6);(6, 8, 6);0.0012214080095291138
(8, 8, 8);(6, 8, 6);(6, 8, 6);0.0012211519479751586
(8, 8, 8);(6, 8, 6);(6, 8, 6);0.0012440639734268189
(8, 8, 8);(6, 8, 6);(6, 8, 6);0.0013364800214767456
(8, 8, 8);(6, 8, 6);(6, 8, 6);0.0012183040380477905
(16, 16, 16);(11, 7, 8);(11, 7, 8);0.0018916480541229248
(16, 16, 16);(11, 7, 8);(11, 7, 8);0.001875264048576355
(16, 16, 16);(11, 7, 8);(11, 7, 8);0.0026838080883026124
(16, 16, 16);(11, 7, 8);(11, 7, 8);0.0018478080034255982
(16, 16, 16);(11, 7, 8);(11, 7, 8);0.001855455994606018
(16, 16, 16);(11, 7, 8);(11, 7, 8);0.001845311999320984
(16, 16, 16);(11, 7, 8);(11, 7, 8);0.0019555519819259644
(16, 16, 16);(11, 7, 8);(11, 7, 8);0.0018570560216903686
(16, 16, 16);(11, 7, 8);(11, 7, 8);0.0022334721088409426
(16, 16, 16);(11, 7, 8);(11, 7, 8);0.0018526400327682495
(16, 16, 16);(11, 7, 8);(11, 7, 8);0.002333791971206665
(16, 16, 16);(11, 7, 8);(11, 7, 8);0.0018656959533691407
(16, 16, 16);(11, 7, 8);(11, 7, 8);0.0018621759414672852
(16, 16, 16);(11, 7, 8);(11, 7, 8);0.0018585920333862305
(16, 16, 16);(11, 7, 8);(11, 7, 8);0.0019529279470443725
(16, 16, 16);(11, 7, 8);(11, 7, 8);0.0021759679317474366
(16, 16, 16);(11, 7, 8);(11, 7, 8);0.001849120020866394
(16, 16, 16);(11, 7, 8);(11, 7, 8);0.00186844801902771
(16, 16, 16);(11, 7, 8);(11, 7, 8);0.002314079999923706
(16, 16, 16);(11, 7, 8);(11, 7, 8);0.0018644479513168334
(16, 16, 16);(11, 7, 8);(11, 7, 8);0.0018541439771652222
(16, 16, 16);(11, 7, 8);(11, 7, 8);0.002172224044799805
(16, 16, 16);(11, 7, 8);(11, 7, 8);0.0019613759517669678
(16, 16, 16);(11, 7, 8);(11, 7, 8);0.0018551360368728638
(16, 16, 16);(11, 7, 8);(11, 7, 8);0.0018672959804534911
(16, 16, 16);(11, 7, 8);(11, 7, 8);0.0018451520204544067
(16, 16, 16);(11, 7, 8);(11, 7, 8);0.0021284160614013672
(16, 16, 16);(11, 7, 8);(11, 7, 8);0.0020228800773620607
(16, 16, 16);(11, 7, 8);(11, 7, 8);0.002173952102661133
(16, 16, 16);(11, 7, 8);(11, 7, 8);0.0018445760011672973
(32, 32, 32);(28, 17, 12);(28, 17, 12);0.002124000072479248
(32, 32, 32);(28, 17, 12);(28, 17, 12);0.001996608018875122
(32, 32, 32);(28, 17, 12);(28, 17, 12);0.0020011200904846193
(32, 32, 32);(28, 17, 12);(28, 17, 12);0.001962208032608032
(32, 32, 32);(28, 17, 12);(28, 17, 12);0.002574656009674072
(32, 32, 32);(28, 17, 12);(28, 17, 12);0.001964959979057312
(32, 32, 32);(28, 17, 12);(28, 17, 12);0.00196835196018219
(32, 32, 32);(28, 17, 12);(28, 17, 12);0.001966495990753174
(32, 32, 32);(28, 17, 12);(28, 17, 12);0.0020829439163208008
(32, 32, 32);(28, 17, 12);(28, 17, 12);0.0019690560102462768
(32, 32, 32);(28, 17, 12);(28, 17, 12);0.0022851839065551756
(32, 32, 32);(28, 17, 12);(28, 17, 12);0.001994591951370239
(32, 32, 32);(28, 17, 12);(28, 17, 12);0.0024295361042022704
(32, 32, 32);(28, 17, 12);(28, 17, 12);0.0019640320539474486
(32, 32, 32);(28, 17, 12);(28, 17, 12);0.001982143998146057
(32, 32, 32);(28, 17, 12);(28, 17, 12);0.0019689600467681883
(32, 32, 32);(28, 17, 12);(28, 17, 12);0.00205731201171875
(32, 32, 32);(28, 17, 12);(28, 17, 12);0.002305056095123291
(32, 32, 32);(28, 17, 12);(28, 17, 12);0.0019539200067520144
(32, 32, 32);(28, 17, 12);(28, 17, 12);0.00199017596244812
(32, 32, 32);(28, 17, 12);(28, 17, 12);0.0024333119392395018
(32, 32, 32);(28, 17, 12);(28, 17, 12);0.0019756799936294558
(32, 32, 32);(28, 17, 12);(28, 17, 12);0.001972223997116089
(32, 32, 32);(28, 17, 12);(28, 17, 12);0.0022975358963012696
(32, 32, 32);(28, 17, 12);(28, 17, 12);0.002070688009262085
(32, 32, 32);(28, 17, 12);(28, 17, 12);0.0020032958984375
(32, 32, 32);(28, 17, 12);(28, 17, 12);0.0019636479616165162
(32, 32, 32);(28, 17, 12);(28, 17, 12);0.002451296091079712
(32, 32, 32);(28, 17, 12);(28, 17, 12);0.001974239945411682
(32, 32, 32);(28, 17, 12);(28, 17, 12);0.0023015360832214357
